[Thu Jul 22 10:28:53.075 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhand
[Thu Jul 22 10:28:53.773 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhanda
[Thu Jul 22 10:28:54.830 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhandar
[Thu Jul 22 10:28:55.177 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhandari
[Thu Jul 22 10:28:56.396 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhandar
[Thu Jul 22 10:28:56.858 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhanda
[Thu Jul 22 10:28:57.261 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhand
[Thu Jul 22 10:28:57.606 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhan
[Thu Jul 22 10:28:58.003 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bha
[Thu Jul 22 10:28:58.375 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bh
[Thu Jul 22 10:28:58.665 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] b
[Thu Jul 22 10:28:59.141 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] r
[Thu Jul 22 10:28:59.519 2010] 0.001 sec [all/1/rel 0 (0,20)] [*] ro
[Thu Jul 22 10:28:59.897 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] r
[Thu Jul 22 10:29:00.268 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] roh
[Thu Jul 22 10:29:00.637 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] roha
[Thu Jul 22 10:29:01.833 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] roh
[Thu Jul 22 10:29:03.276 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] rohh
[Thu Jul 22 10:29:03.702 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] rohha
[Thu Jul 22 10:29:04.097 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] rohhan
[Thu Jul 22 10:29:04.523 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] rohha
[Thu Jul 22 10:29:04.915 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] rohh
[Thu Jul 22 10:29:05.311 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] roh
[Thu Jul 22 10:29:05.719 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] roha
[Thu Jul 22 10:29:06.147 2010] 0.001 sec [all/1/rel 1 (0,20)] [*] rohan
[Thu Jul 22 10:29:18.339 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] roha
[Thu Jul 22 10:29:19.735 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] roh
[Thu Jul 22 10:29:21.095 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] ro
[Thu Jul 22 10:29:21.805 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] r
[Thu Jul 22 10:29:23.481 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] h
[Thu Jul 22 10:29:24.030 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:46:12.691 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:46:13.178 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:47:25.980 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:47:26.627 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:48:04.766 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:48:05.140 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:48:09.368 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 10:49:30.265 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:49:30.568 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:49:32.604 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 10:52:17.196 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:52:24.017 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:52:24.482 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:52:32.304 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:53:06.072 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:53:09.525 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 10:53:13.485 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:53:20.572 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] i
[Thu Jul 22 10:53:21.601 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:53:21.916 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:58:50.647 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:58:53.331 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:58:53.559 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:59:15.322 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 10:59:15.684 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 10:59:45.237 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:03:47.285 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:03:51.116 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:03:51.408 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:04:11.375 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:04:12.474 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:04:14.822 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:04:15.085 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:05:00.618 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:05:01.201 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:08:06.993 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:08:18.068 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:08:20.133 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:08:24.526 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:08:55.660 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:08:56.676 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:08:56.955 2010] 0.001 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:09:45.738 2010] 0.001 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:09:46.029 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:09:48.840 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:19:06.012 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:19:06.572 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
